Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EquityValue,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2022-05-02,4.92,0.3971655452041545,2022,2022-07-01,0.28,2640500000,528100000,4920000000,5448100000,0.3586671467859327,0.0028000000000000004,6.335164797159799,1.1854386259608647e-10
2022-05-09,4.16,0.4275050636936771,2022,2022-07-01,0.28,2640500000,528100000,4160000000,4688100000,0.3793479373233712,0.0028000000000000004,5.5736287602280505,1.247435491774574e-8
2022-05-16,4.5,0.4347788042040438,2022,2022-07-01,0.28,2640500000,528100000,4500000000,5028100000,0.3891141025274352,0.0028000000000000004,5.604029491263603,1.0471252552100041e-8
2022-05-23,4.55,0.43495143715512496,2022,2022-07-01,0.28,2640500000,528100000,4550000000,5078100000,0.3897184063046845,0.0028000000000000004,5.620126074649851,9.540907987009886e-9
2022-05-30,4.55,0.4350733464053764,2022,2022-07-01,0.28,2640500000,528100000,4550000000,5078100000,0.3898276375306636,0.0028000000000000004,5.618442077459486,9.634348443115695e-9
2022-06-06,4.53,0.4349798091855083,2022,2022-07-01,0.28,2640500000,528100000,4530000000,5058100000,0.38956496226060233,0.0028000000000000004,5.612363328016083,9.97909155852051e-9
2022-06-13,4.1,0.4025665619390627,2022,2022-07-01,0.28,2640500000,528100000,4099999999.9999995,4628100000,0.3566307780623057,0.0028000000000000004,5.915987653970386,1.649449783827556e-9
2022-06-20,4,0.40287801697173137,2022,2022-07-01,0.28,2640500000,528100000,4000000000,4528100000,0.355891448485441,0.0028000000000000004,5.867639394164352,2.2102166871540795e-9
2022-06-27,3.7,0.4082527015537064,2022,2022-07-01,0.28,2640500000,528100000,3700000000,4228100000,0.3572609436268569,0.0028000000000000004,5.651904256376754,7.933998780133036e-9
2022-07-04,3.35,0.4176682705638385,2022,2022-07-01,0.28,2640500000,528100000,3350000000,3878100000,0.360792322629344,0.0028000000000000004,5.353576811542415,4.3116202262211455e-8
2022-07-04,3.35,0.4176682705638385,2022,2022-09-01,0.87,2640500000,528100000,3350000000,3878100000,0.360792322629344,0.0087,5.36992970940067,3.938366851295283e-8
2022-07-11,3.09,0.4232654303306828,2022,2022-07-01,0.28,2640500000,528100000,3090000000,3618100000,0.36148535964230116,0.0028000000000000004,5.150645145531711,1.2979597087204155e-7
2022-07-11,3.09,0.4232654303306828,2022,2022-09-01,0.87,2640500000,528100000,3090000000,3618100000,0.36148535964230116,0.0087,5.166966691737174,1.1896182133749713e-7
2022-07-18,3.25,0.4280590906535437,2022,2022-07-01,0.28,2640500000,528100000,3250000000,3778100000,0.36822531024166033,0.0028000000000000004,5.167205687815186,1.1880985950589372e-7
2022-07-18,3.25,0.4280590906535437,2022,2022-09-01,0.87,2640500000,528100000,3250000000,3778100000,0.36822531024166033,0.0087,5.183228486454769,1.0903880414239827e-7
2022-07-25,3.41,0.42442331820475143,2022,2022-07-01,0.28,2640500000,528100000,3410000000,3938100000,0.36750806609232944,0.0028000000000000004,5.290868644375873,6.086838924794696e-8
2022-07-25,3.41,0.42442331820475143,2022,2022-09-01,0.87,2640500000,528100000,3410000000,3938100000,0.36750806609232944,0.0087,5.306922713781026,5.574571073826869e-8
2022-08-01,3.35,0.4219267601786485,2022,2022-07-01,0.28,2640500000,528100000,3350000000,3878100000,0.36447091271459536,0.0028000000000000004,5.295883352560122,5.92212156690251e-8
2022-08-01,3.35,0.4219267601786485,2022,2022-09-01,0.87,2640500000,528100000,3350000000,3878100000,0.36447091271459536,0.0087,5.312071201285982,5.419311831078381e-8
2022-08-08,3.6,0.43009570578962897,2022,2022-07-01,0.28,2640500000,528100000,3600000000,4128100000,0.3750743782472964,0.0028000000000000004,5.302272276357054,5.7185044688515773e-8
2022-08-08,3.6,0.43009570578962897,2022,2022-09-01,0.87,2640500000,528100000,3600000000,4128100000,0.3750743782472964,0.0087,5.318002489728521,5.245631699333138e-8
2022-08-08,3.6,0.43009570578962897,2022,2022-10-03,1.64,2640500000,528100000,3600000000,4128100000,0.3750743782472964,0.016399999999999998,5.3385317512472135,4.685114936994425e-8
2022-08-15,3.52,0.4269362341894771,2022,2022-07-01,0.28,2640500000,528100000,3520000000,4048100000,0.37123972835329155,0.0028000000000000004,5.308181307247779,5.536223754195692e-8
2022-08-15,3.52,0.4269362341894771,2022,2022-09-01,0.87,2640500000,528100000,3520000000,4048100000,0.37123972835329155,0.0087,5.324074002854929,5.073429733627655e-8
2022-08-15,3.52,0.4269362341894771,2022,2022-10-03,1.64,2640500000,528100000,3520000000,4048100000,0.37123972835329155,0.016399999999999998,5.344815317460871,4.525464425915435e-8
2022-08-22,3.42,0.4218047090094464,2022,2022-07-01,0.28,2640500000,528100000,3420000000,3948100000,0.3653838820729735,0.0028000000000000004,5.3306986835615104,4.891781537218393e-8
2022-08-22,3.42,0.4218047090094464,2022,2022-09-01,0.87,2640500000,528100000,3420000000,3948100000,0.3653838820729735,0.0087,5.346846084389721,4.4750030844668915e-8
2022-08-22,3.42,0.4218047090094464,2022,2022-10-03,1.64,2640500000,528100000,3420000000,3948100000,0.3653838820729735,0.016399999999999998,5.367919810894335,3.98249750254463e-8
2022-08-29,3.28,0.4214713876848724,2022,2022-07-01,0.28,2640500000,528100000,3280000000,3808100000,0.3630225444726718,0.0028000000000000004,5.2682879936235905,6.885097711638883e-8
2022-08-29,3.28,0.4214713876848724,2022,2022-09-01,0.87,2640500000,528100000,3280000000,3808100000,0.3630225444726718,0.0087,5.2845404277763235,6.301035897210674e-8
2022-08-29,3.28,0.4214713876848724,2022,2022-10-03,1.64,2640500000,528100000,3280000000,3808100000,0.3630225444726718,0.016399999999999998,5.30575123167057,5.610495139999124e-8
2022-09-05,3.55,0.4252705568049761,2022,2022-09-01,0.87,2640500000,528100000,3550000000,4078100000,0.3701994744262439,0.0087,5.360021082114967,4.1606120311478546e-8
2022-09-05,3.55,0.4252705568049761,2022,2022-10-03,1.64,2640500000,528100000,3550000000,4078100000,0.3701994744262439,0.016399999999999998,5.38082067944539,3.707351344601696e-8
2022-09-05,3.55,0.4252705568049761,2022,2022-11-01,1.62,2640500000,528100000,3550000000,4078100000,0.3701994744262439,0.016200000000000003,5.38028043016408,3.718494838273152e-8
2022-09-12,3.29,0.4293656207746016,2022,2022-09-01,0.87,2640500000,528100000,3290000000,3818100000,0.36997797133350074,0.0087,5.1853916583262345,1.077806858194252e-7
2022-09-12,3.29,0.4293656207746016,2022,2022-10-03,1.64,2640500000,528100000,3290000000,3818100000,0.36997797133350074,0.016399999999999998,5.206203708222738,9.637152630981072e-8
2022-09-12,3.29,0.4293656207746016,2022,2022-11-01,1.62,2640500000,528100000,3290000000,3818100000,0.36997797133350074,0.016200000000000003,5.2056631354981535,9.665251941286654e-8
2022-09-19,3.31,0.4287323258583361,2022,2022-09-01,0.87,2640500000,528100000,3310000000,3838100000,0.3697412778695429,0.0087,5.203078153883879,9.800719333747533e-8
2022-09-19,3.31,0.4287323258583361,2022,2022-10-03,1.64,2640500000,528100000,3310000000,3838100000,0.3697412778695429,0.016399999999999998,5.223903526815913,8.75950391759787e-8
