Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2022-08-01,3.35,0.4219267601786485,2022,2022-07-01,0.28,2640500000,528100000,528100003.35,2.6764905086768213e-9,0.0028000000000000004,1046148.4299750889,0
2022-08-01,3.35,0.4219267601786485,2022,2022-09-01,0.87,2640500000,528100000,528100003.35,2.6764905086768213e-9,0.0087,3250527.627612067,0
2022-08-08,3.6,0.43009570578962897,2022,2022-07-01,0.28,2640500000,528100000,528100003.6,2.9319154142923096e-9,0.0028000000000000004,955009.4123594125,0
2022-08-08,3.6,0.43009570578962897,2022,2022-09-01,0.87,2640500000,528100000,528100003.6,2.9319154142923096e-9,0.0087,2967345.774874875,0
2022-08-08,3.6,0.43009570578962897,2022,2022-10-03,1.64,2640500000,528100000,528100003.6,2.9319154142923096e-9,0.016399999999999998,5593615.264937426,0
2022-08-15,3.52,0.4269362341894771,2022,2022-07-01,0.28,2640500000,528100000,528100003.52,2.845702583469204e-9,0.0028000000000000004,983942.1314333936,0
2022-08-15,3.52,0.4269362341894771,2022,2022-09-01,0.87,2640500000,528100000,528100003.52,2.845702583469204e-9,0.0087,3057243.830027381,0
2022-08-15,3.52,0.4269362341894771,2022,2022-10-03,1.64,2640500000,528100000,528100003.52,2.845702583469204e-9,0.016399999999999998,5763078.250226314,0
2022-08-22,3.42,0.4218047090094464,2022,2022-07-01,0.28,2640500000,528100000,528100003.42,2.7316267666543136e-9,0.0028000000000000004,1025032.5960436964,0
2022-08-22,3.42,0.4218047090094464,2022,2022-09-01,0.87,2640500000,528100000,528100003.42,2.7316267666543136e-9,0.0087,3184917.713594473,0
2022-08-22,3.42,0.4218047090094464,2022,2022-10-03,1.64,2640500000,528100000,528100003.42,2.7316267666543136e-9,0.016399999999999998,6003750.833109893,0
2022-08-29,3.28,0.4214713876848724,2022,2022-07-01,0.28,2640500000,528100000,528100003.28,2.6177355482298975e-9,0.0028000000000000004,1069629.1353181954,0
2022-08-29,3.28,0.4214713876848724,2022,2022-09-01,0.87,2640500000,528100000,528100003.28,2.6177355482298975e-9,0.0087,3323485.5281037674,0
2022-08-29,3.28,0.4214713876848724,2022,2022-10-03,1.64,2640500000,528100000,528100003.28,2.6177355482298975e-9,0.016399999999999998,6264959.125467988,0
2022-09-05,3.55,0.4252705568049761,2022,2022-09-01,0.87,2640500000,528100000,528100003.55,2.858758694393243e-9,0.0087,3043281.2462536935,0
2022-09-05,3.55,0.4252705568049761,2022,2022-10-03,1.64,2640500000,528100000,528100003.55,2.858758694393243e-9,0.016399999999999998,5736757.969245972,0
2022-09-05,3.55,0.4252705568049761,2022,2022-11-01,1.62,2640500000,528100000,528100003.55,2.858758694393243e-9,0.016200000000000003,5666797.534882538,0
2022-09-12,3.29,0.4293656207746016,2022,2022-09-01,0.87,2640500000,528100000,528100003.29,2.6748965793373026e-9,0.0087,3252464.52408123,0
2022-09-12,3.29,0.4293656207746016,2022,2022-10-03,1.64,2640500000,528100000,528100003.29,2.6748965793373026e-9,0.016399999999999998,6131080.489827333,0
2022-09-12,3.29,0.4293656207746016,2022,2022-11-01,1.62,2640500000,528100000,528100003.29,2.6748965793373026e-9,0.016200000000000003,6056311.243963799,0
2022-09-19,3.31,0.4287323258583361,2022,2022-09-01,0.87,2640500000,528100000,528100003.31,2.68718801305908e-9,0.0087,3237587.4800990405,0
2022-09-19,3.31,0.4287323258583361,2022,2022-10-03,1.64,2640500000,528100000,528100003.31,2.68718801305908e-9,0.016399999999999998,6103036.403873585,0
2022-09-19,3.31,0.4287323258583361,2022,2022-11-01,1.62,2640500000,528100000,528100003.31,2.68718801305908e-9,0.016200000000000003,6028609.1591002215,0
2022-09-26,3.76,0.4497053263705463,2022,2022-09-01,0.87,2640500000,528100000,528100003.76,3.201840589120116e-9,0.0087,2717189.3408517153,0
2022-09-26,3.76,0.4497053263705463,2022,2022-10-03,1.64,2640500000,528100000,528100003.76,3.201840589120116e-9,0.016399999999999998,5122056.099729303,0
2022-09-26,3.76,0.4497053263705463,2022,2022-11-01,1.62,2640500000,528100000,528100003.76,3.201840589120116e-9,0.016200000000000003,5059592.028070147,0
2022-10-03,3.74,0.44394969592085226,2022,2022-09-01,0.87,2640500000,528100000,528100003.74,3.1440481934960186e-9,0.0087,2767135.4084169166,0
2022-10-03,3.74,0.44394969592085226,2022,2022-10-03,1.64,2640500000,528100000,528100003.74,3.1440481934960186e-9,0.016399999999999998,5216207.282037912,0
2022-10-03,3.74,0.44394969592085226,2022,2022-11-01,1.62,2640500000,528100000,528100003.74,3.1440481934960186e-9,0.016200000000000003,5152595.0255802255,0
2022-10-03,3.74,0.44394969592085226,2022,2022-12-01,1.23,2640500000,528100000,528100003.74,3.1440481934960186e-9,0.0123,3912156.024655304,0
2022-10-10,3.35,0.44729724297100937,2022,2022-09-01,0.87,2640500000,528100000,528100003.35,2.8374280523527692e-9,0.0087,3066159.2762789233,0
2022-10-10,3.35,0.44729724297100937,2022,2022-10-03,1.64,2640500000,528100000,528100003.35,2.8374280523527692e-9,0.016399999999999998,5779884.473157564,0
2022-10-10,3.35,0.44729724297100937,2022,2022-11-01,1.62,2640500000,528100000,528100003.35,2.8374280523527692e-9,0.016200000000000003,5709398.104407472,0
2022-10-10,3.35,0.44729724297100937,2022,2022-12-01,1.23,2640500000,528100000,528100003.35,2.8374280523527692e-9,0.0123,4334913.913780626,0
