Date,Close,Volume,LogReturn,RollingVolatility
2020-04-27,6.84,52577100,NA,NA
2020-05-04,7.02,83369800,0.02597548640326052,NA
2020-05-11,7.44,99078200,0.058107630807280757,NA
2020-05-18,7.05,91287500,-0.05384323202082328,NA
2020-05-25,6.55,81363800,-0.07356256717701673,NA
2020-06-01,6.22,106971000,-0.05169514289607254,NA
2020-06-08,6.19,96443200,-0.004834820054583293,NA
2020-06-15,6.4,83574900,0.033362903669121445,NA
2020-06-22,6.88,89398000,0.07232066157962608,NA
2020-06-29,7.17,70242600,0.04128700266627666,NA
2020-07-06,7.63,78195300,0.0621821906848367,NA
2020-07-13,7.88,70101900,0.032240058573422055,NA
2020-07-20,8.42,84144600,0.06628192438444754,NA
2020-07-27,9.37,101597500,0.1069032679960953,NA
2020-08-03,9.41,108599900,0.0042598573469575084,NA
2020-08-10,8.71,90978000,-0.07730116273287681,NA
2020-08-17,8.65,78769800,-0.006912469920623563,NA
2020-08-24,8.89,71239000,0.027367728582025245,NA
2020-08-31,8.63,65872800,-0.029682544430476646,NA
2020-09-07,8.8,54016800,0.01950721638882416,NA
2020-09-14,10,90653600,0.1278333715098848,NA
2020-09-21,8.75,106098700,-0.13353139262452263,NA
2020-09-28,8.89,51372000,0.015873349156290163,NA
2020-10-05,9.1,63082000,0.023347363996991107,NA
2020-10-12,9.11,38349900,0.001098297749062592,NA
2020-10-19,8.61,50579400,-0.05644839283222757,NA
2020-10-26,7.97,69455400,-0.0772398256375157,NA
2020-11-02,8.74,56341400,0.09222569686532048,NA
2020-11-09,8.02,85076400,-0.08597176778902103,NA
2020-11-16,7.52,56160000,-0.06437228391667467,NA
2020-11-23,7.11,47512000,-0.05606389414659883,NA
2020-11-30,7.2,67135300,0.012578782206860185,NA
2020-12-07,7.2,79755500,0,NA
2020-12-14,7.63,217208700,0.05800681927435602,NA
2020-12-21,7.39,60576100,-0.03196011033625525,NA
2020-12-28,7.34,48812400,-0.006788892333686203,NA
2021-01-04,7.38,117136900,0.005434795985956995,NA
2021-01-11,6.96,80589200,-0.05859416426605282,NA
2021-01-18,7.01,70446200,0.007158226700170449,NA
2021-01-25,6.98,90531500,-0.0042887842722174815,NA
2021-02-01,7.24,74277800,0.03657228962334382,NA
2021-02-08,7.38,94972100,0.019152432214756137,NA
2021-02-15,6.54,81638000,-0.12083647314327374,NA
2021-02-22,6.23,102018200,-0.04856083266974545,NA
2021-03-01,6.55,97547600,0.05008871684779862,NA
2021-03-08,6.73,65132800,0.02711009400947602,NA
2021-03-15,6.92,81430800,0.027840625972941662,NA
2021-03-22,6.72,53368400,-0.029327615094520063,NA
2021-03-29,7.02,57318900,0.043675063502661635,NA
2021-04-05,7.41,64150100,0.05406722127027579,NA
2021-04-12,7.5,51024000,0.01207258123426924,NA
2021-04-19,7.35,53590300,-0.020202707317519466,NA
2021-04-26,7.04,43232200,-0.04309214305479418,0.40147577371087995
2021-05-03,7.74,62941000,0.09479351743168465,0.411687022051767
2021-05-10,7.78,81525800,0.005154650588664422,0.4076988680810085
2021-05-17,8.04,89419400,0.03287274500057455,0.405049171555947
2021-05-24,8.1,51891100,0.007434978487518212,0.3975646066954006
2021-05-31,7.98,33831700,-0.014925650216675593,0.3939888267090523
2021-06-07,7.81,39558800,-0.021533447610122883,0.3947579550271604
2021-06-14,6.42,94843200,-0.19598684614972475,0.44150016214056526
2021-06-21,6.38,97001900,-0.0062500203451712946,0.43533660186654627
2021-06-28,6.44,50624000,0.009360442759563893,0.43330681997782755
2021-07-05,6.3,73679500,-0.02197890671877534,0.4287325836036802
2021-07-12,6.2,64218500,-0.016000341346441075,0.4273229205721413
2021-07-19,6.12,73888400,-0.01298719552681119,0.4212230223676073
2021-07-26,6.56,67850000,0.06942850643176293,0.4125468051293483
2021-08-02,6.19,44816800,-0.05805551625949282,0.41553038961475613
2021-08-09,6.08,59998900,-0.017930390718429133,0.4096421877611996
2021-08-16,5.71,54868200,-0.06278567231015686,0.41343499592459126
2021-08-23,6.05,39980200,0.057839248374831204,0.41719767618410675
2021-08-30,6.19,47604700,0.022876814653754823,0.4176461286750603
2021-09-06,5.71,41752800,-0.08071606302858596,0.42329668854510405
2021-09-13,5.48,71914900,-0.041113922707994646,0.40101923876980167
2021-09-20,5.28,70350100,-0.03717900324175413,0.3822776881344918
