Date.x,Close,RollingVolatility,Year,Date.y,RiskFreeRate,Total Debt
2021-04-26,7.04,0.40147577371087995,2021,NA,NA,1684700
2021-05-03,7.74,0.411687022051767,2021,NA,NA,1684700
2021-05-10,7.78,0.4076988680810085,2021,NA,NA,1684700
2021-05-17,8.04,0.405049171555947,2021,NA,NA,1684700
2021-05-24,8.1,0.3975646066954006,2021,NA,NA,1684700
2021-05-31,7.98,0.3939888267090523,2021,NA,NA,1684700
2021-06-07,7.81,0.3947579550271604,2021,NA,NA,1684700
2021-06-14,6.42,0.44150016214056526,2021,NA,NA,1684700
2021-06-21,6.38,0.4353366018665462,2021,NA,NA,1684700
2021-06-28,6.44,0.4333068199778275,2021,NA,NA,1684700
2021-07-05,6.3,0.4287325836036802,2021,NA,NA,1684700
2021-07-12,6.2,0.4273229205721413,2021,NA,NA,1684700
2021-07-19,6.12,0.4212230223676073,2021,NA,NA,1684700
2021-07-26,6.56,0.4125468051293483,2021,NA,NA,1684700
2021-08-02,6.19,0.41553038961475613,2021,NA,NA,1684700
2021-08-09,6.08,0.4096421877611996,2021,NA,NA,1684700
2021-08-16,5.71,0.41343499592459126,2021,NA,NA,1684700
2021-08-23,6.05,0.41719767618410675,2021,NA,NA,1684700
2021-08-30,6.19,0.4176461286750603,2021,NA,NA,1684700
2021-09-06,5.71,0.4232966885451041,2021,NA,NA,1684700
2021-09-13,5.48,0.40101923876980167,2021,NA,NA,1684700
2021-09-20,5.28,0.3822776881344918,2021,NA,NA,1684700
2021-09-27,5.32,0.3817998338055753,2021,NA,NA,1684700
2021-10-04,5.67,0.38747324540712186,2021,NA,NA,1684700
2021-10-11,6.11,0.3963450298440244,2021,NA,NA,1684700
2021-10-18,6.32,0.39529572374198774,2021,NA,NA,1684700
2021-10-25,6.01,0.3912382452234724,2021,NA,NA,1684700
2021-11-01,6.21,0.3804731197082709,2021,NA,NA,1684700
2021-11-08,6.94,0.3894843790463825,2021,NA,NA,1684700
2021-11-15,6.67,0.3862727804054558,2021,NA,NA,1684700
2021-11-22,6.13,0.39130557058745424,2021,NA,NA,1684700
2021-11-29,5.84,0.39360569574630067,2021,NA,NA,1684700
2021-12-06,5.33,0.4031444634184222,2021,2022-01-03,-1.58,1684700
2021-12-13,5.55,0.4006863665022179,2021,2022-01-03,-1.58,1684700
2021-12-20,5.57,0.39992538511327824,2021,2022-01-03,-1.58,1684700
2021-12-27,5.81,0.40274534192046335,2021,2022-01-03,-1.58,1684700
2022-01-03,5.45,0.40695799751114664,2022,2022-01-03,-1.58,2640500
2022-01-03,5.45,0.40695799751114664,2022,2022-02-01,-1.17,2640500
2022-01-10,5.59,0.4045121378469167,2022,2022-01-03,-1.58,2640500
2022-01-10,5.59,0.4045121378469167,2022,2022-02-01,-1.17,2640500
2022-01-17,5.65,0.4046282748434294,2022,2022-01-03,-1.58,2640500
2022-01-17,5.65,0.4046282748434294,2022,2022-02-01,-1.17,2640500
2022-01-24,5.25,0.4105168510463048,2022,2022-01-03,-1.58,2640500
2022-01-24,5.25,0.4105168510463048,2022,2022-02-01,-1.17,2640500
2022-01-31,5.4,0.40972461782405784,2022,2022-01-03,-1.58,2640500
2022-01-31,5.4,0.40972461782405784,2022,2022-02-01,-1.17,2640500
2022-01-31,5.4,0.40972461782405784,2022,2022-03-01,-1.58,2640500
2022-02-07,5.71,0.41360912118594995,2022,2022-02-01,-1.17,2640500
2022-02-07,5.71,0.41360912118594995,2022,2022-03-01,-1.58,2640500
2022-02-14,5.82,0.3969632562076092,2022,2022-02-01,-1.17,2640500
2022-02-14,5.82,0.3969632562076092,2022,2022-03-01,-1.58,2640500
2022-02-21,5.53,0.3972748954466626,2022,2022-02-01,-1.17,2640500
2022-02-21,5.53,0.3972748954466626,2022,2022-03-01,-1.58,2640500
2022-02-28,5.48,0.39371075630737223,2022,2022-02-01,-1.17,2640500
2022-02-28,5.48,0.39371075630737223,2022,2022-03-01,-1.58,2640500
2022-03-07,5.63,0.39370240634146303,2022,2022-03-01,-1.58,2640500
2022-03-07,5.63,0.39370240634146303,2022,2022-04-01,-0.73,2640500
2022-03-14,5.58,0.3924393550627266,2022,2022-03-01,-1.58,2640500
2022-03-14,5.58,0.3924393550627266,2022,2022-04-01,-0.73,2640500
2022-03-21,5.73,0.3927586982273615,2022,2022-03-01,-1.58,2640500
2022-03-21,5.73,0.3927586982273615,2022,2022-04-01,-0.73,2640500
2022-03-28,6.02,0.39349054883318096,2022,2022-03-01,-1.58,2640500
2022-03-28,6.02,0.39349054883318096,2022,2022-04-01,-0.73,2640500
2022-04-04,6.21,0.39075541526794855,2022,2022-04-01,-0.73,2640500
2022-04-04,6.21,0.39075541526794855,2022,2022-05-02,-0.2,2640500
2022-04-11,6.14,0.3905115778272672,2022,2022-04-01,-0.73,2640500
2022-04-11,6.14,0.3905115778272672,2022,2022-05-02,-0.2,2640500
2022-04-18,5.49,0.40492612162580077,2022,2022-04-01,-0.73,2640500
2022-04-18,5.49,0.40492612162580077,2022,2022-05-02,-0.2,2640500
2022-04-25,5.08,0.40962902397523193,2022,2022-04-01,-0.73,2640500
2022-04-25,5.08,0.40962902397523193,2022,2022-05-02,-0.2,2640500
2022-05-02,4.92,0.3971655452041545,2022,2022-05-02,-0.2,2640500
2022-05-02,4.92,0.3971655452041545,2022,2022-06-01,-0.02,2640500
2022-05-09,4.16,0.4275050636936771,2022,2022-05-02,-0.2,2640500
2022-05-09,4.16,0.4275050636936771,2022,2022-06-01,-0.02,2640500
2022-05-16,4.5,0.4347788042040438,2022,2022-05-02,-0.2,2640500
2022-05-16,4.5,0.4347788042040438,2022,2022-06-01,-0.02,2640500
2022-05-23,4.55,0.43495143715512496,2022,2022-05-02,-0.2,2640500
2022-05-23,4.55,0.43495143715512496,2022,2022-06-01,-0.02,2640500
2022-05-30,4.55,0.4350733464053764,2022,2022-05-02,-0.2,2640500
2022-05-30,4.55,0.4350733464053764,2022,2022-06-01,-0.02,2640500
2022-06-06,4.53,0.4349798091855083,2022,2022-06-01,-0.02,2640500
2022-06-06,4.53,0.4349798091855083,2022,2022-07-01,0.28,2640500
2022-06-13,4.1,0.4025665619390627,2022,2022-06-01,-0.02,2640500
2022-06-13,4.1,0.4025665619390627,2022,2022-07-01,0.28,2640500
2022-06-20,4,0.40287801697173137,2022,2022-06-01,-0.02,2640500
2022-06-20,4,0.40287801697173137,2022,2022-07-01,0.28,2640500
2022-06-27,3.7,0.4082527015537064,2022,2022-06-01,-0.02,2640500
2022-06-27,3.7,0.4082527015537064,2022,2022-07-01,0.28,2640500
