Date.x,Close,RollingVolatility,RiskFreeRate,Total Debt,AssetValue,AssetVolatility,DefaultProbability
2021-11-08,6.94,0.3894843790463825,-1.58,1684700,NA,NA,NA
2021-11-15,6.67,0.3862727804054558,-1.58,1684700,NA,NA,NA
2021-11-22,6.13,0.39130557058745424,-1.58,1684700,NA,NA,NA
2021-11-29,5.84,0.39360569574630067,-1.58,1684700,NA,NA,NA
2021-12-06,5.33,0.4031444634184222,-1.58,1684700,NA,NA,NA
2021-12-06,5.33,0.4031444634184222,-1.17,1684700,NA,NA,NA
2021-12-13,5.55,0.4006863665022179,-1.58,1684700,NA,NA,NA
2021-12-13,5.55,0.4006863665022179,-1.17,1684700,NA,NA,NA
2021-12-20,5.57,0.39992538511327824,-1.58,1684700,NA,NA,NA
2021-12-20,5.57,0.39992538511327824,-1.17,1684700,NA,NA,NA
2021-12-27,5.81,0.40274534192046335,-1.58,1684700,NA,NA,NA
2021-12-27,5.81,0.40274534192046335,-1.17,1684700,NA,NA,NA
2022-01-03,5.45,0.40695799751114664,-1.58,2640500,NA,NA,NA
2022-01-03,5.45,0.40695799751114664,-1.17,2640500,NA,NA,NA
2022-01-03,5.45,0.40695799751114664,-1.58,2640500,NA,NA,NA
2022-01-10,5.59,0.4045121378469167,-1.58,2640500,NA,NA,NA
2022-01-10,5.59,0.4045121378469167,-1.17,2640500,NA,NA,NA
2022-01-10,5.59,0.4045121378469167,-1.58,2640500,NA,NA,NA
2022-01-17,5.65,0.4046282748434294,-1.58,2640500,NA,NA,NA
2022-01-17,5.65,0.4046282748434294,-1.17,2640500,NA,NA,NA
2022-01-17,5.65,0.4046282748434294,-1.58,2640500,NA,NA,NA
2022-01-24,5.25,0.4105168510463048,-1.58,2640500,NA,NA,NA
2022-01-24,5.25,0.4105168510463048,-1.17,2640500,NA,NA,NA
2022-01-24,5.25,0.4105168510463048,-1.58,2640500,NA,NA,NA
2022-01-31,5.4,0.40972461782405784,-1.58,2640500,NA,NA,NA
2022-01-31,5.4,0.40972461782405784,-1.17,2640500,NA,NA,NA
2022-01-31,5.4,0.40972461782405784,-1.58,2640500,NA,NA,NA
2022-01-31,5.4,0.40972461782405784,-0.73,2640500,NA,NA,NA
2022-02-07,5.71,0.41360912118594995,-1.58,2640500,NA,NA,NA
2022-02-07,5.71,0.41360912118594995,-1.17,2640500,NA,NA,NA
2022-02-07,5.71,0.41360912118594995,-1.58,2640500,NA,NA,NA
2022-02-07,5.71,0.41360912118594995,-0.73,2640500,NA,NA,NA
2022-02-14,5.82,0.3969632562076092,-1.58,2640500,NA,NA,NA
2022-02-14,5.82,0.3969632562076092,-1.17,2640500,NA,NA,NA
2022-02-14,5.82,0.3969632562076092,-1.58,2640500,NA,NA,NA
2022-02-14,5.82,0.3969632562076092,-0.73,2640500,NA,NA,NA
2022-02-21,5.53,0.3972748954466626,-1.58,2640500,NA,NA,NA
2022-02-21,5.53,0.3972748954466626,-1.17,2640500,NA,NA,NA
2022-02-21,5.53,0.3972748954466626,-1.58,2640500,NA,NA,NA
2022-02-21,5.53,0.3972748954466626,-0.73,2640500,NA,NA,NA
2022-02-28,5.48,0.39371075630737223,-1.58,2640500,NA,NA,NA
2022-02-28,5.48,0.39371075630737223,-1.17,2640500,NA,NA,NA
